sku,type,sex,color,breed,age_in_month,height_in_inch,weight_in_kg,price,size,images_count,yt_images_count
BLF 2340,COW,MALE_BULL,RED,LOCAL,2 Years,50.9,270.0,19000.0,MEDIUM,4,0
BLF 2342,COW,MALE_BULL,NON_RED,LOCAL,2 Years,52.0,256.0,18000.0,LARGE,4,31
BLF2001,COW,MALE_BULL,RED,LOCAL,2 Years,48.5,279.0,120000.0,MEDIUM,4,31
BLF2002,COW,MALE_BULL,NON_RED,LOCAL,2.5 Years,51.0,296.0,125000.0,LARGE,4,31
BLF2003,COW,MALE_BULL,RED,LOCAL,2 Years,44.0,212.0,92000.0,MINIMUM,4,31
BLF2004,COW,MALE_BULL,RED,LOCAL,2 Years,43.5,202.0,88000.0,MINIMUM,4,31
BLF2005,COW,MALE_BULL,NON_RED,LOCAL,2 Years,45.0,205.0,88000.0,MEDIUM,4,31
BLF2006,COW,MALE_BULL,RED,SAHIWAL,2 Years,48.0,258.0,112000.0,MEDIUM,4,31
BLF2007,COW,MALE_BULL,NON_RED,LOCAL,2 Years,46.0,240.0,102000.0,MEDIUM,4,31
BLF2008,COW,MALE_BULL,RED,RED_CHITTAGONG,2 Years,43.2,215.0,95000.0,MINIMUM,4,31
BLF2009,COW,MALE_BULL,NON_RED,LOCAL,2 Years,45.0,226.0,96000.0,MEDIUM,4,31
BLF2010,COW,MALE_BULL,NON_RED,LOCAL,2 Years,47.0,224.0,95000.0,MEDIUM,4,31
BLF2011,COW,MALE_BULL,NON_RED,LOCAL,2.5 Years,45.8,245.0,105000.0,MEDIUM,4,31
BLF2012,COW,MALE_BULL,NON_RED,LOCAL,2.5 Years,47.0,245.0,104000.0,MEDIUM,4,31
BLF2013,COW,MALE_BULL,NON_RED,LOCAL,2 Years,48.0,255.0,108000.0,MEDIUM,4,31
BLF2014,COW,MALE_BULL,NON_RED,LOCAL,2 Years,42.0,185.0,79000.0,MINIMUM,4,31
BLF2015,COW,MALE_BULL,NON_RED,LOCAL,2 Years,44.0,200.0,85000.0,MINIMUM,4,31
BLF2016,COW,MALE_BULL,NON_RED,LOCAL,2.5 Years,44.0,185.0,79000.0,MINIMUM,4,31
BLF2017,COW,MALE_BULL,RED,LOCAL,2 Years,46.0,210.0,91000.0,MEDIUM,4,31
BLF2018,COW,MALE_BULL,NON_RED,LOCAL,2 Years,45.0,200.0,85000.0,MEDIUM,4,31
BLF2019,COW,MALE_BULL,RED,LOCAL,2 Years,44.6,250.0,108000.0,MINIMUM,4,31
BLF2020,COW,MALE_BULL,RED,LOCAL,2 Years,45.2,226.0,97000.0,MEDIUM,4,31
BLF2021,COW,MALE_BULL,RED,LOCAL,2.5 Years,46.0,211.0,91000.0,MEDIUM,4,31
BLF2022,COW,MALE_BULL,NON_RED,LOCAL,2 Years,49.0,240.0,102000.0,MEDIUM,4,31
BLF2023,COW,MALE_BULL,NON_RED,LOCAL,2 Years,46.6,225.0,97000.0,MEDIUM,4,31
BLF2024,COW,MALE_BULL,NON_RED,LOCAL,2 Years,47.0,230.0,98000.0,MEDIUM,4,31
BLF2025,COW,MALE_BULL,RED,LOCAL,2 Years,46.0,205.0,89000.0,MEDIUM,4,31
BLF2026,COW,MALE_BULL,RED,SINDHI,2 Years,44.5,210.0,92000.0,MINIMUM,4,31
BLF2027,COW,MALE_BULL,NON_RED,LOCAL,2 Years,48.7,265.0,111000.0,MEDIUM,4,31
BLF2028,COW,MALE_BULL,NON_RED,LOCAL,2.5 Years,49.0,245.0,104000.0,MEDIUM,4,31
BLF2029,COW,MALE_BULL,RED,SAHIWAL,2.5 Years,45.8,225.0,97000.0,MEDIUM,4,31
